key: 1804289383 rec:886 777 915 793 335 386 492 649 421 362 27 690 59 763 926 540 426 172 736 211 368 567 429 782 
key: 861021530 rec:862 123 67 135 929 802 22 58 69 167 393 456 11 42 229 373 421 919 784 537 198 324 315 370 
key: 1129566413 rec:526 91 980 956 873 862 170 996 281 305 925 84 327 336 505 846 729 313 857 124 895 582 545 814 
key: 1548233367 rec:434 364 43 750 87 808 276 178 788 584 403 651 754 399 932 60 676 368 739 12 226 586 94 539 
key: 1036140795 rec:570 434 378 467 601 97 902 317 492 652 756 301 280 286 441 865 689 444 619 440 729 31 117 97 
key: 2007905771 rec:481 675 709 927 567 856 497 353 586 965 306 683 219 624 528 871 732 829 503 19 270 368 708 715 
key: 1373226340 rec:149 796 723 618 245 846 451 921 555 379 488 764 228 841 350 193 500 34 764 124 914 987 856 743 
key: 387346491 rec:227 365 859 936 432 551 437 228 275 407 474 121 858 395 29 237 235 793 818 428 143 11 928 529 
key: 2103318776 rec:404 443 763 613 538 606 840 904 818 128 688 369 917 917 996 324 743 470 183 490 499 772 725 644 
key: 1172755590 rec:505 139 954 786 669 82 542 464 197 507 355 804 348 611 622 828 299 343 746 568 340 422 311 810 
key: 1447267605 rec:801 661 730 878 305 320 736 444 626 522 465 708 416 282 258 924 637 62 624 600 36 452 899 379 
key: 620145550 rec:468 71 973 131 881 930 933 894 660 163 199 981 899 996 959 773 813 668 190 95 926 466 84 340 
key: 638422090 rec:684 376 542 936 107 445 756 179 418 887 412 348 172 659 9 336 210 342 587 206 301 713 372 321 
key: 260401255 rec:819 599 721 904 939 811 940 667 705 228 127 150 984 658 920 224 422 269 396 81 630 84 292 972 
key: 1253207672 rec:850 625 385 222 299 640 42 898 713 298 190 524 590 209 581 819 336 732 155 994 4 379 769 273 
key: 1662981776 rec:850 255 860 142 579 884 993 205 621 567 504 613 961 754 326 259 944 202 202 506 784 21 842 868 
key: 255789528 rec:189 872 908 958 498 36 808 753 248 303 333 133 648 890 754 567 746 368 529 500 46 788 797 249 
