10

2 1 2 1
3 3 2 0 1
4 5 4 3 2 4
4 3 1 9 3 8
5 3 4 1 9 3 8
9 3 6 4 9 5 1 9 3 3 8
10 3 6 4 9 6 5 1 9 3 3 8

16
3 6 4 9 6 5 1 9 3 3
8 2 1 7 3 5
3

26
3 6 4 9 6 5 1 9 3 3
2 7 8 2 0 8 4 4 7 5
8 2 1 7 3 5
7

96
3 6 4 9 6 5 1 9 3 3
4 0 5 0 7 5 6 3 6 0
1 2 0 7 3 1 7 6 2 3
0 4 6 6 9 8 9 5 3 4
1 9 2 9 2 7 5 9 8 9
4 7 5 8 7 8 5 8 2 7
5 8 2 9 8 3 7 6 5 3
9 1 2 0 3 4 6 5 1 0
2 7 8 2 0 8 4 4 7 5
8 2 1 7 3 5
6

2097
130    589    498    852    254	   78	  981	 659	767    662
657    554    195    424    413	   562	  634	 379	296    11
993    931    624    689    225	   758	  404	 758	68     858
44     807    921    283    875	   698	  779	 359	269    537
79     617    563    89	    85	   791	  839	 662	973    172
798    448    124    562    868	   934	  667	 496	149    320
922    250    8	     396    940	   193	  850	 557	590    992
54     136    785    79	    646	   24	  323	 149	521    256
847    606    759    389    463	   94	  700	 741	424    134
306    989    678    537    4	   886	  251	 519	785    579
61     208    930    894    398	   612	  160	 152	555    836
559    277    30     677    681	   923	  660	 354	351    736
649    476    834    973    825	   914	  909	 255	728    708
687    48     270    870    521	   252	  295	 788	484    467
224    94     514    772    129	   498	  554	 153	767    128
932    865    716    842    447	   309	  476	 446	545    476
989    597    781    405    101	   799	  19	 436	223    384
426    714    338    956    871	   349	  98	 819	523    799
577    393    968    528    124	   196	  309	 49	178    426
445    384    100    444    895	   549	  444	 40	343    74
217    581    936    332    949	   199	  736	 583	753    687
605    326    290    743    799	   819	  40	 539	405    104
680    53     106    759    539	   336	  138	 918	963    568
404    172    396    666    754	   321	  835	 869	271    907
819    727    952    111    23	   500	  339	 349	985    54
85     248    164    918    238	   141	  942	 467	376    871
956    936    989    925    166	   744	  482	 511	900    862
374    464    994    552    179	   145	  637	 28	705    183
171    500    287    779    424	   817	  491	 855	110    808
19     836    788    368    751	   888	  309	 948	580    743
761    83     91     443    526	   805	  223	 774	406    723
204    362    972    366    936	   348	  506	 374	178    769
789    650    603    757    416	   789	  825	 989	476    653
791    465    66     664    265	   379	  817	 332	272    965
19     209    184    530    55	   273	  13	 440	307    980
483    271    717    520    667	   322	  489	 297	540    884
560    196    487    227    998	   750	  931	 931	547    974
228    621    403    217    255	   154	  638	 136	812    19
628    550    660    970    446	   986	  445	 474	531    577
763    174    481    603    445	   600	  501	 351	941    627
808    501    235    417    894	   658	  361	 847	406    576
856    834    185    602    712	   615	  425	 837	845    710
708    760    339    954    851	   810	  548	 996	705    765
334    91     771    164    748	   682	  224	 385	225    282
564    84     4	     883    78	   138	  73	 740	862    139
235    661    677    218    157	   222	  44	 900	910    897
59     59     936    230    360	   382	  657	 813	854    152
656    209    540    447    225	   538	  214	 857	763    538
848    673    530    466    12	   802	  322	 627	150    835
929    3      674    124    711	   908	  455	 57	960    720
126    256    214    68	    826	   917	  549	 831	194    176
541    442    254    251    81	   420	  721	 21	944    69
334    196    764    782    371	   791	  335	 577	108    17
490    809    761    381    746	   701	  470	 643	701    398
146    568    544    947    895	   413	  857	 416	340    667
41     649    83     426    737	   931	  935	 519	521    397
282    85     188    7	    174	   123	  277	 655	709    854
896    584    26     720    912	   140	  472	 998	438    665
105    376    47     456    853	   75	  166	 254	79     144
575    315    611    284    433	   306	  135	 710	771    593
246    292    326    214    870	   1	  902	 458	768    99
306    209    712    629    447	   719	  599	 556	115    440
613    197    695    622    673	   664	  914	 362	254    421
254    296    675    405    813	   509	  503	 755	994    173
630    893    927    712    161	   705	  13	 789	718    892
582    262    318    290    501	   489	  291	 265	562    610
796    182    794    761    547	   788	  139	 683	209    902
482    93     208    856    151	   41	  171	 59	160    478
865    983    596    675    34	   62	  314	 960	345    697
26     431    336    868    854	   906	  580	 387	553    681
853    360    50     990    972	   847	  398	 128	693    658
913    247    186    859    759	   333	  445	 200	662    935
614    866    207    840    743	   782	  504	 361	519    943
956    587    963    787    845	   246	  992	 580	150    623
988    746    989    736    423	   456	  698	 12	82     22
535    616    123    311    330	   220	  988	 843	991    862
134    206    259    195    270	   127	  532	 225	995    970
248    825    801    557    487	   146	  433	 380	949    443
24     123    869    924    525	   684	  84	 583	300    944
181    748    868    387    415	   228	  202	 487	834    874
683    860    483    402    108	   468	  701	 966	590    184
772    59     808    597    771	   396	  994	 851	298    875
136    22     361    46	    623	   378	  632	 732	837    819
72     28     824    627    993	   400	  953	 94	536    549
585    642    380    146    53	   314	  990	 48	135    124
675    804    499    308    899	   657	  200	 216	256    119
811    930    182    962    621	   165	  953	 28	857    818
45     36     118    539    104	   909	  280	 772	112    717
423    124    77     716    78	   265	  279	 146	872    304
837    373    689    293    723	   643	  831	 747	79     737
316    276    574    124    992	   449	  981	 949	450    10
7      367    652    769    856	   999	  722	 731	985    617
612    891    860    921    283	   189	  381	 221	177    270
419    78     883    268    22	   191	  90	 28	262    642
697    94     6	     878    910	   894	  743	 520	749    742
761    202    460    294    665	   658	  438	 658	448    236
508    374    954    848    324	   623	  716	 256	759    308
357    939    781    659    318	   797	  570	 999	780    607
583    548    728    630    534	   389	  32	 635	765    766
798    45     245    943    496	   21	  364	 496	401    295
77     495    694    70	    739	   30	  185	 573	799    622
807    53     228    324    860	   408	  189	 843	947    906
838    694    854    977    588	   479	  385	 964	510    614
832    406    524    769    12	   659	  244	 397	282    753
97     853    3	     666    68	   73	  335	 90	817    604
42     36     348    135    33	   711	  992	 867	493    440
456    955    495    311    541	   591	  576	 748	177    567
841    661    338    461    967	   849	  506	 214	242    152
796    151    212    771    706	   517	  189	 369	420    7
22     889    576    380    932	   723	  487	 10	821    233
898    775    29     42	    847	   158	  866	 716	927    368
145    958    77     990    906	   364	  614	 533	538    841
855    830    606    503    990	   694	  179	 39	488    481
914    213    730    66	    53	   182	  988	 497	116    246
498    831    25     324    923	   904	  598	 63	88     494
577    824    589    192    218	   584	  721	 657	822    904
685    675    755    742    146	   738	  508	 1	770    886
127    963    303    242    76	   185	  284	 467	927    262
432    996    481    95	    783	   148	  364	 682	427    430
161    100    371    808    889	   495	  168	 361	464    619
983    245    594    667    303	   942	  863	 854	327    295
17     806    682    405    506	   494	  788	 105	97     23
218    973    993    304    526	   959	  855	 849	466    851
788    892    338    780    837	   682	  630	 518	346    382
601    568    476    964    996	   654	  858	 137	744    350
315    720    55     870    502	   172	  245	 903	456    864
672    117    208    422    141	   393	  695	 153	719    49
271    516    352    295    561	   555	  505	 862	572    350
941    463    871    275    232	   106	  769	 295	561    945
455    681    394    776    611	   542	  977	 218	470    872
761    536    419    749    480	   837	  32	 735	123    266
860    829    460    106    974	   855	  439	 280	387    476
166    252    197    829    439	   428	  85	 770	921    789
422    142    3	     23	    218	   975	  642	 184	168    954
811    972    463    512    572	   688	  404	 862	904    767
700    879    518    196    656	   944	  751	 3	194    236
758    332    309    171    363	   914	  222	 240	999    483
469    557    798    16	    482	   691	  415	 412	13     285
124    309    144    509    851	   200	  411	 392	539    673
992    586    735    691    490	   507	  889	 982	952    84
107    322    529    559    262	   251	  202	 827	434    204
35     342    670    559    211	   547	  576	 584	47     310
130    825    280    855    323	   378	  66	 5	549    559
598    991    452    272    586	   70	  964	 545	397    604
96     14     701    894    583	   58	  518	 33	575    919
474    550    18     613    595	   810	  506	 258	582    832
845    432    88     429    136	   173	  250	 891	344    793
634    697    372    1	    642	   162	  840	 163	496    390
895    383    685    37	    623	   563	  440	 273	78     353
771    1      771    921    17	   991	  194	 684	901    758
568    251    59     764    490	   95	  603	 215	417    403
189    306    328    619    427	   40	  260	 752	257    910
477    290    856    947    589	   648	  939	 133	69     579
267    757    39     681    168	   161	  453	 438	957    749
419    791    663    456    395	   602	  311	 845	807    50
