# Randomly generated 1000 points
  2.79 -29.14  67.55  57.08 -23.04
  9.73 -74.88  58.27  42.55  14.83
 16.49 -68.00   5.65  56.33  44.58
  9.61 -12.93 -66.87  30.99  56.42
  6.43  98.68 -54.89 -11.11 -23.93
  2.24  -8.05 -41.41  48.20 -64.74
 18.56  76.56 -67.68 -30.83 -26.20
  6.64  49.95  42.83  81.24 -13.95
 19.61  56.10  10.05 -13.13  70.13
 19.28  11.12  92.21  21.28 -42.16
  7.68  66.46  22.79 -15.06 -92.40
 15.50 -15.77 -82.84 -32.68  61.69
 14.64 -22.21  25.16 -44.32  82.18
 12.22 -65.83  92.22 -42.55 -60.79
 19.18  27.35 -41.39 -14.66  17.94
  1.41 -44.40  20.26  15.03  -3.07
  4.26 -87.44  82.64 -80.01  88.99
 18.25 -29.56  73.07 -22.65  84.98
 16.85 -60.18  35.19  63.99  27.05
  3.91  -6.42 -92.65  -9.62 -73.50
 14.85 -59.81 -55.72 -40.98 -29.85
 10.69  54.57 -56.44  31.25 -62.67
 10.58  73.28 -46.42 -10.03 -69.43
  8.22  -9.63 -32.76 -21.90  37.97
 19.50 -82.43 -19.66   7.82  41.26
 15.59  67.43 -94.71  42.70 -56.48
 10.95 -16.46 -39.06  -6.32 -79.73
 12.20  19.30 -51.99 -36.55 -72.51
  9.61 -56.23 -88.84  77.08 -43.17
  8.43 -39.15 -51.37 -86.30  65.38
  4.14  27.81 -69.50  92.78  42.95
  1.52  63.12  21.63  94.23 -39.88
  7.45  19.62  -0.57 -42.67 -34.01
  6.84 -63.37  78.92 -32.44  88.71
 11.98  77.59 -18.42  80.33  44.99
 14.52 -91.70 -45.32  68.38  54.72
  4.82  94.92 -33.68  19.29 -18.06
 17.30  11.92 -42.98  40.01  21.47
 11.39  67.85 -69.14 -66.28 -54.34
 18.72 -91.53  94.63 -56.81  83.86
  3.17 -55.17 -88.91  98.29 -14.04
  2.52  65.38  21.89 -55.14  30.35
 11.50  10.38  38.08 -29.78 -42.10
  4.67 -51.59 -45.23  93.34  80.75
 15.63  97.19 -98.45  59.35  27.65
  6.51   3.05 -23.45  37.76 -41.64
  7.44 -80.77 -36.98 -26.36  31.23
  2.11  49.71 -14.31  57.69  78.60
  2.15 -56.65  71.52  78.28 -95.26
  5.88   7.35 -35.31  79.87 -11.01
 12.30 -51.40 -15.20 -53.54 -70.28
 14.25  49.95  57.46   8.79  71.62
 17.39   7.52  11.84 -55.19 -90.25
  1.05 -60.10  41.82 -37.37  77.96
 14.06 -74.19 -49.40 -96.96 -23.63
  7.15  59.31  44.11 -45.72  82.75
  8.17 -76.43 -27.24  -4.34  14.78
 13.65  55.63  52.77  96.13 -40.64
 12.11 -23.11 -82.18  11.62  -4.27
  7.83 -48.08 -99.77 -64.47  49.76
  9.39 -27.31 -91.56  18.31 -68.20
 18.48  55.48 -33.24 -15.05  50.55
  5.64  87.34  32.22  16.79 -31.96
 18.08 -16.30 -49.93  27.06  -0.51
 13.58  71.65  87.85  30.46  33.00
  3.86 -45.53  91.72 -80.66  28.68
 15.51  17.68  43.89  28.79  70.70
 19.35 -55.59 -30.09  58.73 -30.96
  3.02  68.87  72.15  35.84 -56.32
 19.27  73.86  -8.76  -6.31  31.64
 11.52   1.25   3.93  52.18 -73.02
  3.42  48.61  37.55  83.09 -46.38
 11.11 -95.99 -85.64  83.63 -69.79
 12.58  78.50 -39.48  30.38 -52.47
 12.38  91.17 -93.32  43.74   7.05
  5.91  48.51  45.76  91.94  12.06
 16.59  16.61  75.58  16.91  -4.00
 13.12 -25.38 -17.85  33.99  98.78
 13.56  93.48 -54.29  38.29  32.72
 12.99  11.41  32.00 -51.63 -55.60
  7.75 -49.36 -29.80 -15.43  70.78
  7.32 -41.65 -22.21 -70.88   0.97
 18.43 -74.15  36.39 -39.27 -74.77
  1.80  45.11  62.34 -55.09  69.93
 11.89  -5.85  53.47 -88.00  31.66
 12.29 -38.14  98.77 -55.05 -18.71
  2.63 -26.42 -76.53 -46.02 -95.96
  8.57 -23.21 -74.70  23.45 -20.27
 16.23 -83.40 -54.40  77.21 -70.99
 10.45  81.54 -43.51 -99.85  77.42
 11.94 -20.52 -60.50  -5.28  -4.83
  1.29  -5.86 -60.28  99.04 -85.43
 16.34  21.70  49.78 -77.65 -93.89
  2.63  -8.25  82.92  13.85   5.37
 11.72  -0.81 -92.02  42.49  38.66
 18.23 -57.72 -39.33 -82.65  26.70
  4.18  19.57  65.11  44.78  98.56
 18.80 -52.33 -68.08 -77.88  83.17
  4.48 -19.20  -5.25 -27.31  97.74
 10.63 -64.55 -21.24  44.60  23.84
 14.25  39.16 -79.35 -42.78  77.59
 12.98  62.49 -16.25 -86.72  27.31
  4.75 -14.95 -97.90  80.05 -33.87
 11.94 -10.02 -49.78 -61.09 -36.27
 14.04  51.06 -36.35  83.44 -38.62
 11.34   6.61  -1.55  11.86  99.99
 13.25 -47.83  71.93   6.53  45.04
 11.22 -87.04  69.14 -16.59  69.51
 12.47  50.14 -78.05 -36.11 -41.19
  7.05 -79.42 -22.40  37.65 -22.53
 18.09  41.68 -82.26 -53.67  17.88
  3.06  90.88  -2.16  74.33 -30.54
  6.30 -41.08  30.39 -15.14  32.54
 18.58 -41.19 -60.06 -55.19 -66.37
 11.54 -76.87 -60.14 -89.60  88.61
 17.89 -86.75   7.68  50.97 -71.70
  6.56 -45.09 -39.54 -84.57 -28.49
 10.92  87.30  -7.21   5.45  87.66
  6.62 -20.97  93.91  94.27  68.19
 10.80 -61.83 -50.09 -70.10  33.51
  9.50  -1.26  24.43 -62.00  47.32
  4.09 -53.50 -10.90 -56.86 -49.23
 14.23  -4.72 -20.10 -15.02  94.24
  2.84 -39.73  74.73 -38.02 -73.85
 15.24 -55.25 -62.43  91.48  -4.77
 19.94 -40.63  99.82 -56.46 -75.41
  9.72 -40.01  97.32 -32.99  50.13
 17.72  76.04 -53.22 -31.28 -75.73
  6.26 -48.05  16.19 -89.84 -92.98
 16.39  14.72 -99.10 -27.03 -47.91
  4.41  68.36 -28.50  41.48  12.50
 11.60  57.25  66.24  33.08  75.86
 13.70 -19.40  64.32 -62.87 -48.23
 12.48 -12.38  76.88  20.13   2.07
  3.60 -60.83  -3.01  59.57 -99.66
  3.88  40.26  97.30  20.47  -1.07
 15.20 -41.85 -41.61 -82.48  49.91
  9.92  71.11 -24.72 -57.92  79.25
 19.50 -12.06 -33.87 -12.10 -76.34
  4.04 -82.45  29.10 -13.26 -81.75
 19.02 -71.47  76.80  35.17 -83.30
  3.87 -12.40  10.91 -57.39  -5.48
  7.71  71.99  54.05 -27.12  36.46
 11.25  77.00 -50.54  92.94  90.81
 16.44 -40.62  40.54 -54.69  63.65
 11.93  23.34 -85.86 -60.48   3.20
 17.56 -75.28 -84.06 -49.72 -13.78
  3.36  75.61  -2.42  -9.69  27.00
